assetId,sourceCategory,runtimeFilename,runtimeBytes,triangleCount,materialCount,textureCount,duplicateStatus,matchedWith
chair_035,chair,runtime-assets/chair_035.glb,236628,324,2,3,intentional_variant,
chair_036,chair,runtime-assets/chair_036.glb,223092,547,2,3,intentional_variant,
chair_037,chair,runtime-assets/chair_037.glb,100488,480,3,2,intentional_variant,
chair_038,chair,runtime-assets/chair_038.glb,20572,440,2,1,metric_near_duplicate_candidate,chair_157
chair_039,chair,runtime-assets/chair_039.glb,90772,348,2,2,metric_near_duplicate_candidate,chair_052
chair_040,chair,runtime-assets/chair_040.glb,242416,382,3,3,intentional_variant,
chair_041,chair,runtime-assets/chair_041.glb,220724,470,2,3,intentional_variant,
chair_042,chair,runtime-assets/chair_042.glb,16944,384,1,1,intentional_variant,
chair_043,chair,runtime-assets/chair_043.glb,13224,148,2,1,intentional_variant,
chair_044,chair,runtime-assets/chair_044.glb,117584,2758,2,1,intentional_variant,
chair_045,chair,runtime-assets/chair_045.glb,127332,2900,4,1,intentional_variant,
chair_046,chair,runtime-assets/chair_046.glb,536544,2236,2,4,intentional_variant,
chair_047,chair,runtime-assets/chair_047.glb,484592,520,3,5,intentional_variant,
chair_048,chair,runtime-assets/chair_048.glb,96764,374,2,2,metric_near_duplicate_candidate,chair_008
chair_049,chair,runtime-assets/chair_049.glb,10788,258,1,1,metric_near_duplicate_candidate,chair_010
chair_050,chair,runtime-assets/chair_050.glb,95096,452,2,2,metric_near_duplicate_candidate,chair_014
chair_051,chair,runtime-assets/chair_051.glb,23064,452,1,1,metric_near_duplicate_candidate,chair_026
chair_052,chair,runtime-assets/chair_052.glb,90772,348,2,2,metric_near_duplicate_candidate,chair_039
chair_058,chair,runtime-assets/chair_058.glb,103072,380,3,2,intentional_variant,
chair_066,chair,runtime-assets/chair_066.glb,13196,196,2,1,intentional_variant,
chair_156,chair,runtime-assets/chair_156.glb,90772,348,2,2,metric_near_duplicate_candidate,chair_039
chair_157,chair,runtime-assets/chair_157.glb,20572,440,2,1,metric_near_duplicate_candidate,chair_038
chair_162,chair,runtime-assets/chair_162.glb,250700,704,1,2,intentional_variant,
chair_227,chair,runtime-assets/chair_227.glb,184228,768,2,3,intentional_variant,
coffee_table,coffee,runtime-assets/coffee_table.glb,165912,436,1,2,intentional_variant,
coffee_table_024,coffee,runtime-assets/coffee_table_024.glb,208932,92,2,3,intentional_variant,
coffee_table_025,coffee,runtime-assets/coffee_table_025.glb,90768,240,2,1,intentional_variant,
coffee_table_026,coffee,runtime-assets/coffee_table_026.glb,230008,194,1,2,intentional_variant,
coffee_table_027,coffee,runtime-assets/coffee_table_027.glb,154588,106,1,2,intentional_variant,
coffee_table_028,coffee,runtime-assets/coffee_table_028.glb,9356,106,1,1,intentional_variant,
coffee_table_029,coffee,runtime-assets/coffee_table_029.glb,229340,436,2,3,intentional_variant,
coffee_table_030,coffee,runtime-assets/coffee_table_030.glb,12444,194,1,1,metric_near_duplicate_candidate,coffee_table_040
coffee_table_031,coffee,runtime-assets/coffee_table_031.glb,209732,194,1,2,intentional_variant,
coffee_table_032,coffee,runtime-assets/coffee_table_032.glb,215008,106,1,2,intentional_variant,
coffee_table_033,coffee,runtime-assets/coffee_table_033.glb,256212,968,2,3,intentional_variant,
coffee_table_034,coffee,runtime-assets/coffee_table_034.glb,263768,98,3,4,intentional_variant,
coffee_table_035,coffee,runtime-assets/coffee_table_035.glb,384052,464,3,5,intentional_variant,
coffee_table_036,coffee,runtime-assets/coffee_table_036.glb,229532,504,2,3,intentional_variant,
coffee_table_037,coffee,runtime-assets/coffee_table_037.glb,217216,140,2,3,intentional_variant,
coffee_table_038,coffee,runtime-assets/coffee_table_038.glb,88168,160,2,1,intentional_variant,
