assetId,sourceCategory,displayCategory,displayName,thumbnailFilename,runtimeFilename,runtimeBytes,triangleCount,materialCount,textureCount,maxTextureDimension,runtimePolicyStatus
cupboard_017,cupboard,Storage,Cupboard 17,thumbnails/cupboard_017.webp,runtime-assets/cupboard_017.glb,17564,256,3,1,512,PASS
entertainment_033,entertainment,Storage,Entertainment 33,thumbnails/entertainment_033.webp,runtime-assets/entertainment_033.glb,17668,252,2,1,512,PASS
prop_190,prop,Decor,Prop 190,thumbnails/prop_190.webp,runtime-assets/prop_190.glb,17688,414,2,1,512,PASS
flower_046,flower,Plants,Flower 46,thumbnails/flower_046.webp,runtime-assets/flower_046.glb,17700,499,1,1,512,PASS
picture_077,picture,Decor,Picture 77,thumbnails/picture_077.webp,runtime-assets/picture_077.glb,17980,92,2,2,512,PASS
curtain_015,curtain,Decor,Curtain 15,thumbnails/curtain_015.webp,runtime-assets/curtain_015.glb,18064,364,1,1,512,PASS
prop_151,prop,Decor,Prop 151,thumbnails/prop_151.webp,runtime-assets/prop_151.glb,18104,430,2,1,512,PASS
prop_154,prop,Decor,Prop 154,thumbnails/prop_154.webp,runtime-assets/prop_154.glb,18224,268,3,1,512,PASS
flower_053,flower,Plants,Flower 53,thumbnails/flower_053.webp,runtime-assets/flower_053.glb,18452,518,1,1,512,PASS
prop,prop,Decor,Prop,thumbnails/prop.webp,runtime-assets/prop.glb,18700,402,1,1,512,PASS
work_table_005,work,Tables,Work Table 5,thumbnails/work_table_005.webp,runtime-assets/work_table_005.glb,18876,344,2,1,512,PASS
flower_052,flower,Plants,Flower 52,thumbnails/flower_052.webp,runtime-assets/flower_052.glb,18948,547,1,1,512,PASS
curtain_074,curtain,Decor,Curtain 74,thumbnails/curtain_074.webp,runtime-assets/curtain_074.glb,19104,364,2,1,512,PASS
flower_038,flower,Plants,Flower 38,thumbnails/flower_038.webp,runtime-assets/flower_038.glb,19556,528,2,1,512,PASS
lamp_032,lamp,Lighting,Lamp 32,thumbnails/lamp_032.webp,runtime-assets/lamp_032.glb,20100,358,4,1,512,PASS
sofa_028,sofa,Seating,Sofa 28,thumbnails/sofa_028.webp,runtime-assets/sofa_028.glb,20304,400,2,1,512,PASS
sofa_055,sofa,Seating,Sofa 55,thumbnails/sofa_055.webp,runtime-assets/sofa_055.glb,20304,400,2,1,512,PASS
sofa_072,sofa,Seating,Sofa 72,thumbnails/sofa_072.webp,runtime-assets/sofa_072.glb,20304,400,2,1,512,PASS
chair_038,chair,Seating,Chair 38,thumbnails/chair_038.webp,runtime-assets/chair_038.glb,20572,440,2,1,512,PASS
chair_157,chair,Seating,Chair 157,thumbnails/chair_157.webp,runtime-assets/chair_157.glb,20572,440,2,1,512,PASS
picture_083,picture,Decor,Picture 83,thumbnails/picture_083.webp,runtime-assets/picture_083.glb,21836,417,2,1,512,PASS
picture_061,picture,Decor,Picture 61,thumbnails/picture_061.webp,runtime-assets/picture_061.glb,21896,28,2,2,512,PASS
prop_191,prop,Decor,Prop 191,thumbnails/prop_191.webp,runtime-assets/prop_191.glb,22228,510,2,1,512,PASS
picture_059,picture,Decor,Picture 59,thumbnails/picture_059.webp,runtime-assets/picture_059.glb,22376,30,2,2,512,PASS
cupboard_008,cupboard,Storage,Cupboard 8,thumbnails/cupboard_008.webp,runtime-assets/cupboard_008.glb,22788,356,2,1,512,PASS
picture_064,picture,Decor,Picture 64,thumbnails/picture_064.webp,runtime-assets/picture_064.glb,23032,28,2,2,512,PASS
chair_026,chair,Seating,Chair 26,thumbnails/chair_026.webp,runtime-assets/chair_026.glb,23064,452,1,1,512,PASS
chair_051,chair,Seating,Chair 51,thumbnails/chair_051.webp,runtime-assets/chair_051.glb,23064,452,1,1,512,PASS
picture_074,picture,Decor,Picture 74,thumbnails/picture_074.webp,runtime-assets/picture_074.glb,23232,28,2,2,512,PASS
curtain_005,curtain,Decor,Curtain 5,thumbnails/curtain_005.webp,runtime-assets/curtain_005.glb,23336,764,2,1,512,PASS
curtain_067,curtain,Decor,Curtain 67,thumbnails/curtain_067.webp,runtime-assets/curtain_067.glb,23336,764,2,1,512,PASS
curtain_008,curtain,Decor,Curtain 8,thumbnails/curtain_008.webp,runtime-assets/curtain_008.glb,23340,764,2,1,512,PASS
curtain_047,curtain,Decor,Curtain 47,thumbnails/curtain_047.webp,runtime-assets/curtain_047.glb,23340,764,2,1,512,PASS
curtain_009,curtain,Decor,Curtain 9,thumbnails/curtain_009.webp,runtime-assets/curtain_009.glb,23380,764,2,1,512,PASS
