assetId,sourceCategory,displayCategory,displayName,thumbnailFilename,thumbnailBytes,thumbnailWidth,thumbnailHeight,thumbnailAreaPct,thumbnailStatus,runtimeFilename,runtimeBytes,triangleCount,primitiveCount,materialCount,textureCount,maxTextureDimension,analyticalDecodedRGBABytes,policyVersion,conversionStatus,runtimePolicyStatus,geometryInvarianceStatus,gltfValidationStatus,prototypeDerivedRole,authoritativeSemanticRole
bathroom_060,bathroom,Kitchen & Bath,Bathroom 60,thumbnails/bathroom_060.webp,3338,256,192,48.75,skipped,runtime-assets/bathroom_060.glb,203452,1298,3,3,3,512,3145728,1,built,PASS,PASS,PASS,floorDecor,
bathroom_061,bathroom,Kitchen & Bath,Bathroom 61,thumbnails/bathroom_061.webp,2080,256,192,25.23,skipped,runtime-assets/bathroom_061.glb,122468,834,5,5,2,512,2097152,1,built,PASS,PASS,PASS,floorDecor,
bathroom_062,bathroom,Kitchen & Bath,Bathroom 62,thumbnails/bathroom_062.webp,1526,256,192,30.03,skipped,runtime-assets/bathroom_062.glb,152120,64,2,2,2,512,2097152,1,built,PASS,PASS,PASS,floorDecor,
bed,bed,Bedroom,Bed,thumbnails/bed.webp,4146,256,192,57.02,skipped,runtime-assets/bed.glb,95940,756,3,3,2,512,2058240,1,built,PASS,PASS,PASS,floorDecor,
bed_016,bed,Bedroom,Bed 16,thumbnails/bed_016.webp,3862,256,192,49.89,skipped,runtime-assets/bed_016.glb,264468,415,4,4,4,512,4194304,1,built,PASS,PASS,PASS,floorDecor,
bed_017,bed,Bedroom,Bed 17,thumbnails/bed_017.webp,1686,256,192,50.98,skipped,runtime-assets/bed_017.glb,143472,659,2,2,3,512,3145728,1,built,PASS,PASS,PASS,floorDecor,
bed_018,bed,Bedroom,Bed 18,thumbnails/bed_018.webp,4126,256,192,62.06,skipped,runtime-assets/bed_018.glb,531180,1660,4,4,5,512,5242880,1,built,PASS,PASS,PASS,floorDecor,
bed_019,bed,Bedroom,Bed 19,thumbnails/bed_019.webp,1806,256,192,54.49,skipped,runtime-assets/bed_019.glb,260456,1356,3,3,3,512,3145728,1,built,PASS,PASS,PASS,floorDecor,
bed_020,bed,Bedroom,Bed 20,thumbnails/bed_020.webp,2324,256,192,50.62,skipped,runtime-assets/bed_020.glb,286560,380,3,3,4,512,4194304,1,built,PASS,PASS,PASS,floorDecor,
bed_021,bed,Bedroom,Bed 21,thumbnails/bed_021.webp,4026,256,192,56.53,skipped,runtime-assets/bed_021.glb,844376,2098,6,6,8,512,8388608,1,built,PASS,PASS,PASS,floorDecor,
bed_022,bed,Bedroom,Bed 22,thumbnails/bed_022.webp,4044,256,192,46.63,skipped,runtime-assets/bed_022.glb,387432,1224,4,4,5,512,5242880,1,built,PASS,PASS,PASS,floorDecor,
bed_023,bed,Bedroom,Bed 23,thumbnails/bed_023.webp,3978,256,192,49.05,skipped,runtime-assets/bed_023.glb,103040,1373,3,3,2,512,2097152,1,built,PASS,PASS,PASS,floorDecor,
bed_024,bed,Bedroom,Bed 24,thumbnails/bed_024.webp,3572,256,192,44.49,skipped,runtime-assets/bed_024.glb,278704,1317,4,4,4,512,3844096,1,built,PASS,PASS,PASS,floorDecor,
bed_025,bed,Bedroom,Bed 25,thumbnails/bed_025.webp,2124,256,192,55.72,skipped,runtime-assets/bed_025.glb,835028,1248,7,7,8,512,8388608,1,built,PASS,PASS,PASS,floorDecor,
bed_026,bed,Bedroom,Bed 26,thumbnails/bed_026.webp,1994,256,192,53.07,skipped,runtime-assets/bed_026.glb,414280,882,4,4,5,512,5242880,1,built,PASS,PASS,PASS,floorDecor,
bed_027,bed,Bedroom,Bed 27,thumbnails/bed_027.webp,1216,256,192,40.81,skipped,runtime-assets/bed_027.glb,15812,332,1,1,1,512,1048576,1,built,PASS,PASS,PASS,floorDecor,
bed_028,bed,Bedroom,Bed 28,thumbnails/bed_028.webp,1876,256,192,38.94,skipped,runtime-assets/bed_028.glb,164584,578,3,3,4,512,4194304,1,built,PASS,PASS,PASS,floorDecor,
bed_029,bed,Bedroom,Bed 29,thumbnails/bed_029.webp,6314,256,192,48.88,skipped,runtime-assets/bed_029.glb,449508,808,4,4,6,512,6291456,1,built,PASS,PASS,PASS,floorDecor,
bed_030,bed,Bedroom,Bed 30,thumbnails/bed_030.webp,2956,256,192,55.91,skipped,runtime-assets/bed_030.glb,49092,1307,1,1,1,512,1048576,1,built,PASS,PASS,PASS,floorDecor,
bed_031,bed,Bedroom,Bed 31,thumbnails/bed_031.webp,2768,256,192,58.76,skipped,runtime-assets/bed_031.glb,304260,1755,4,4,4,512,4194304,1,built,PASS,PASS,PASS,floorDecor,
bed_032,bed,Bedroom,Bed 32,thumbnails/bed_032.webp,1372,256,192,54.36,skipped,runtime-assets/bed_032.glb,246072,822,2,2,3,512,3145728,1,built,PASS,PASS,PASS,floorDecor,
bed_033,bed,Bedroom,Bed 33,thumbnails/bed_033.webp,1112,256,192,42.25,skipped,runtime-assets/bed_033.glb,24088,808,1,1,1,512,1048576,1,built,PASS,PASS,PASS,floorDecor,
bed_034,bed,Bedroom,Bed 34,thumbnails/bed_034.webp,2392,256,192,56.28,skipped,runtime-assets/bed_034.glb,37576,947,2,2,1,512,1048576,1,built,PASS,PASS,PASS,floorDecor,
bed_035,bed,Bedroom,Bed 35,thumbnails/bed_035.webp,1168,256,192,43.67,skipped,runtime-assets/bed_035.glb,37576,947,2,2,1,512,1048576,1,built,PASS,PASS,PASS,floorDecor,
bed_036,bed,Bedroom,Bed 36,thumbnails/bed_036.webp,3246,256,192,56.22,skipped,runtime-assets/bed_036.glb,49092,1307,1,1,1,512,1048576,1,built,PASS,PASS,PASS,floorDecor,
bed_059,bed,Bedroom,Bed 59,thumbnails/bed_059.webp,3566,256,192,60.52,skipped,runtime-assets/bed_059.glb,260024,1660,4,3,3,512,3145728,1,built,PASS,PASS,PASS,floorDecor,
carpet,carpet,Decor,Carpet,thumbnails/carpet.webp,1258,256,192,33.85,skipped,runtime-assets/carpet.glb,173560,321,2,2,3,512,3145728,1,built,PASS,PASS,PASS,rug,
carpet_001,carpet,Decor,Carpet 1,thumbnails/carpet_001.webp,3948,256,192,44.04,skipped,runtime-assets/carpet_001.glb,122240,184,2,2,3,512,3145728,1,built,PASS,PASS,PASS,rug,
carpet_002,carpet,Decor,Carpet 2,thumbnails/carpet_002.webp,2700,256,192,47.61,skipped,runtime-assets/carpet_002.glb,149568,386,2,2,3,512,3145728,1,built,PASS,PASS,PASS,rug,
